ZONE T="first 0", I=  42, F=POINT
 -2.50941  -1.42073
 -2.43285  -1.35640
 -2.35719  -1.29101
 -2.28254  -1.22448
 -2.20904  -1.15667
 -2.13686  -1.08745
 -2.06622  -1.01668
 -1.99735  -0.94417
 -1.93056  -0.86974
 -1.86618  -0.79322
 -1.80460  -0.71443
 -1.74621  -0.63325
 -1.69137  -0.54963
 -1.64032  -0.46364
 -1.59310  -0.37550
 -1.54942  -0.28554
 -1.50867  -0.19422
 -1.46996  -0.10202
 -1.43221  -0.00941
 -1.39430   0.08312
 -1.35518   0.17515
 -1.31390   0.26624
 -1.26968   0.35593
 -1.22188   0.44376
 -1.17003   0.52927
 -1.13306   0.58475
 -1.09409   0.63884
 -1.05307   0.69139
 -1.00998   0.74226
 -0.96484   0.79132
 -0.91766   0.83842
 -0.86849   0.88344
 -0.81739   0.92625
 -0.76442   0.96673
 -0.70967   1.00477
 -0.65323   1.04026
 -0.59522   1.07311
 -0.53576   1.10325
 -0.47495   1.13059
 -0.41295   1.15507
 -0.34987   1.17666
 -0.28586   1.19530
 -0.22107   1.21099
 -0.15562   1.22370
 -0.08967   1.23345
 -0.02336   1.24026
  0.04320   1.24415
  0.10985   1.24519
  0.17650   1.24344
  0.24302   1.23898
  0.30931   1.23192
  0.37528   1.22236
  0.44088   1.21044
  0.50603   1.19631
  0.57071   1.18016
  0.63490   1.16215
  0.73029   1.13216
  0.82474   1.09929
  0.91848   1.06446
  1.01186   1.02868
  1.10529   0.99305
  1.19921   0.95871
  1.29396   0.92674
  1.38977   0.89807
  1.48667   0.87337
  1.58457   0.85300
  1.68328   0.83700
  1.78259   0.82520
  1.88227   0.81726
  1.98217   0.81280
  2.08216   0.81143
  2.18215   0.81279
  2.28208   0.81654
  2.38191   0.82241
  2.48161   0.83014
  2.58117   0.83953
  2.68057   0.85040
  2.77983   0.86259
  2.87893   0.87599
  2.97787   0.89047
  3.07667   0.90593
  3.17532   0.92231
  3.27383   0.93951
  3.37220   0.95748
  3.47044   0.97616
  3.56855   0.99550
  3.66654   1.01545
  3.76441   1.03598
  3.86217   1.05705
  3.95981   1.07862
  4.05735   1.10067
  4.15479   1.12317
  4.25212   1.14610
  4.34936   1.16943
  4.44651   1.19314
  4.54357   1.21722
  4.64054   1.24164
  4.73743   1.26640
  4.83424   1.29147
ZONE T="6     7", I= 121, F=POINT
 -4.36273  -2.59557
 -4.27819  -2.54215
 -4.19383  -2.48845
 -4.10966  -2.43447
 -4.02567  -2.38018
 -3.94189  -2.32559
 -3.85833  -2.27066
 -3.77499  -2.21539
